id color pedicle sound texture umbilical touch good
1 darkgreen curled turbid clear sunken hardslip yes
2 jetblack curled dull clear sunken hardslip yes
3 jetblack curled turbid clear sunken hardslip yes
4 darkgreen curled dull clear sunken hardslip yes
5 lightwhite curled turbid clear sunken hardslip yes
6 darkgreen slightlycurled turbid clear slightlysunken softsticky yes
7 jetblack slightlycurled turbid lightblur slightlysunken softsticky yes
8 jetblack slightlycurled turbid clear slightlysunken hardslip yes
9 jetblack slightlycurled dull lightblur slightlysunken hardslip no
10 darkgreen stiffened crisp clear flat softsticky no
11 lightwhite stiffened crisp blur flat hardslip no
12 lightwhite curled turbid blur flat softsticky no
13 darkgreen slightlycurled turbid lightblur sunken hardslip no
14 lightwhite slightlycurled dull lightblur sunken hardslip no
15 jetblack slightlycurled turbid clear slightlysunken softsticky no
16 lightwhite curled turbid blur flat hardslip no
17 darkgreen curled dull lightblur slightlysunken hardslip no
